,Weekday,Jamalpur Station,Jamalpur Amts ,Pragatinagar Station,Maninagar Station,Memco Station,Paldi Station,Paldi Amts ,Sarkhej  Station,Gota Station,Memnagar Station,Memnagar Amts,Vadaj Station,Sabarmati Station,Sabarmati Amts,Chandola Station,Krishanagar,DODO-Green Fuel Station  ,Vijay Gas Station-DODO-Bhuvaldi,Jay Goga Corporation -DODO-Hathijan,Shree Gas Station-DODO-Bhadaj,Abad Hirapur - DODO,JAY DWARKADISH ENTERPRISE,Bhakti Petroleum-IBP,Punjab Service Station-IBP,Gujarat Rajya Purvatha-IBP Khokhra vidita,Saccha Sauda-IBP,Jayvir Civil Petrol Pump-IOCL,Rupam Petroleum-IOCL,Maniyar Petroleum-IOCL,Sun Petro Gas-IOCL ,Dharamtal-BPCL,Shraddha Petrolium-BPCL,Metro Service-BPCL,Mitesh Automobile-BPCL,Vatsal Automobile-BPCL,Parmar Tradelink (Adhoc)-BPCL Ganesh,Auto Services  Mirzapur-BPCL,Alka Automobile-BPCL,Neelu Motors-BPCL,Modi Service-BPCL,Ila Automobile-BPCL,Auto Rikshaw Driver Co.Ass-BPCL,Revadas Jhaverbhai & Sons-BPCL,Sindh Automobiles-BPCL (Memco),Kalptaru Petroleum-BPCL,Shree Laxmi Narayan-IBP,Jay Petroleum-Essar,Unique Retread-IBP,Iswar Petroleum-IOCL,Ambica Service-IOCL,Swaminarayan Sokali-BPCL,Swadesh Cargo Carrier -BPCL,Gujarat Auto Centre-IOCL-Shahwadi,Chenpur Petroleum- IOCL,Pavan Petroleum -BPCL,Anjani Petroleum-BPCL,Rathva Petroleum - IOCL ,Shrinathji Petroleum -BPCL,Ambica Automobiles-BPCL,Ashtavinayak-Hirapur- IOCL,Kalashree Automobiles- IOCL,Shivganga Petroleum-Kamod-BPCL,RB Patel & Sons-Kuha-BPCL,Alka Automobile-BPCL- Ognaj ,Kuldevi Petroleum-BPCL- Ranasan,Dev Petroleum -IOCL,Kameshwar Petroleum -IOCL,Aadhit Petroleum - IOCL,Parmar Tradelink - BPCL,Kanha Petroleum - HPCL,Sardar Petro Station - IOCL,LJ Thakkar - IOCL,Grand Millenlum - HPCL,Karnavati Petroleum - BPCL,Siddhanath Petroleum - HPCL,Siddhi Gasoline - BPCL,Vinayak Petroleum - IOCL,Radhey Petroleum - BPCL,Shree Gokulesh Petroleum - IOCL,B N Gasoline - BPCL,Millennium-HPCL,SHREEJI AUTO SERVICE-HPCL,RAVI PETROLEUM-BPCL,GUJARAT AUTO (USHMANPURA)- IOCL STATION 
2023-04-11,Tuesday,10497.77,6163.75,6774.07,11349.56,12222.44,12571.17,1376.13,12619.05,15662.48,6985.49,0.00,15693.64,5658.66,3366.51,10067.77,9778.12,7433.16,7791.02,11410.92,4752.86,,,3578.02,2978.68,4332.37,6792.18,2734.69,4556.63,2378.70,4068.84,1919.50,5449.13,2916.30,5656.91,2697.18,5230.74,2822.11,4849.26,7319.66,4048.25,3437.88,3794.68,1108.25,4076.75,1066.97,11810.25,1553.75,6714.15,1390.75,2742.00,4271.70,4470.38,1803.62,2193.62,2549.44,4011.88,2704.38,0.00,2543.42,2302.79,0.00,1834.95,2304.46,3873.50,5166.87,4731.88,2708.29,2504.79,3653.76,2197.13,5217.17,7221.02,483.15,1410.25,5423.74,7091.53,2189.01,3633.00,3736.24,5059.27,2543.86,2357.22,8309.07,2139.36
2023-04-12,Wednesday,10293.77,6509.00,6406.93,11355.11,11994.79,12529.08,1696.99,12363.63,15865.31,6723.12,0.00,15516.29,5573.94,3283.49,10055.38,9433.37,6882.40,8178.73,10769.64,4679.38,,,5338.77,2657.68,4606.10,6485.58,3015.96,4845.12,2499.48,3852.37,2006.00,5231.74,2909.66,5784.70,4196.28,4785.24,2724.29,4798.30,6133.59,3942.65,4444.52,3654.50,1256.88,4010.87,1011.42,9105.88,4538.66,5604.41,2729.87,3552.00,4368.69,4360.87,2042.75,2122.63,2589.18,5139.75,2872.37,0.00,2028.34,2319.35,0.00,1868.84,1983.30,2947.76,5308.14,4306.62,2852.06,2352.96,3327.56,2154.00,5333.58,7110.02,502.82,2025.00,5509.88,5929.85,2307.00,3707.00,3644.01,5443.52,2637.77,2681.12,6096.68,2015.54
2023-04-13,Thursday,9820.78,6410.25,7052.19,11214.71,11659.16,12713.67,1421.62,12020.58,16399.62,6768.00,0.00,15885.75,5472.07,3498.45,10331.04,10123.01,7305.45,7690.18,12121.57,4784.91,,,4710.84,3042.57,3890.25,6122.98,3067.54,5023.50,2550.28,3728.01,1974.00,5082.63,3034.82,5661.13,3491.92,5148.82,2404.15,4987.12,7147.65,4089.71,4392.77,3365.59,1372.12,3778.13,1088.37,9610.37,3577.71,5416.19,2503.00,4152.00,3839.00,4267.00,1784.88,2045.50,2642.06,5433.25,2395.76,0.00,2510.23,2476.85,0.00,1825.76,2936.78,2670.23,4650.25,4278.75,2645.35,2324.00,3453.18,2375.25,5535.16,6815.56,652.05,2256.74,5079.87,5896.96,2123.22,3493.00,657.19,5778.36,2452.58,2892.67,6255.93,1960.51
2023-04-14,Friday,9018.02,5866.50,5945.63,11252.32,10806.06,12088.28,1292.73,12844.43,16612.62,6472.10,0.00,14172.43,5657.15,2490.31,9586.95,9868.25,7319.07,7788.42,12172.53,4032.66,,,4994.16,2362.22,4176.81,6245.88,2978.96,4855.87,2299.72,3041.71,1956.00,5804.25,2879.56,5755.55,3660.02,4078.37,3004.85,4226.64,6662.76,4265.42,4008.24,3580.32,1082.38,3849.12,1109.75,9156.62,2954.12,4909.15,2830.13,3849.25,4834.24,3548.75,1885.12,2106.87,2821.69,5306.62,3123.99,0.00,2166.64,2599.02,0.00,1927.34,2520.98,2843.32,5779.99,4521.12,2470.00,2045.22,3257.07,2499.63,5645.39,6672.39,777.03,1855.07,5361.87,5038.56,2134.75,3632.00,6537.17,5533.23,2995.04,2393.38,5998.57,1752.11
2023-04-15,Saturday,10208.36,6594.25,7017.56,12309.43,12203.76,13541.34,1573.13,12655.09,16865.68,6916.07,0.00,16834.64,7148.64,3419.31,10498.84,10652.37,7391.32,8689.18,13068.10,4873.44,,,4882.03,2896.26,4901.31,5755.06,3013.16,5127.25,2524.29,3851.38,2098.00,5412.50,2869.25,5949.13,3981.48,4735.84,2730.00,5098.81,7522.12,4231.07,3864.94,3592.69,979.12,4242.63,1141.25,9920.38,3469.88,5611.82,2656.13,3968.75,3500.46,4430.88,1744.63,2369.50,2969.63,5986.75,3502.00,0.00,2414.10,3111.69,0.00,2000.90,2801.12,3091.88,6157.13,4656.63,2822.16,2186.35,3438.56,1933.12,5265.79,7231.73,666.98,1989.34,5728.38,6042.23,2321.18,3652.00,4292.26,6049.78,2268.27,2649.72,6436.69,1921.12
2023-04-16,Sunday,8994.60,5170.00,6685.56,10988.68,11096.49,11861.25,1060.85,11198.56,16796.59,6284.74,0.00,14849.41,8374.66,2526.00,9531.48,11255.12,7019.80,8032.47,11505.72,4621.33,,,4399.68,2548.45,4446.38,5576.92,3009.72,4483.76,2283.75,3468.78,1929.25,5238.37,2517.41,5896.50,3182.99,2930.87,2312.50,4547.30,7170.73,3875.87,4251.82,3529.93,1186.00,3859.75,1033.88,8883.13,3240.50,4843.15,2457.99,4569.50,3829.59,3747.50,1916.62,2431.13,2393.68,5777.00,3795.00,0.00,2035.84,3458.97,0.00,1707.00,2749.10,2881.00,6959.00,4156.37,2273.06,1414.38,3047.00,2534.88,6159.90,6756.63,924.16,1819.32,5533.82,5815.96,2198.26,3508.00,4157.38,5739.09,2967.50,2556.94,6253.84,1207.43
2023-04-17,Monday,10285.20,6211.50,6880.42,12160.59,12083.52,12607.09,1471.46,12705.58,16177.69,6683.93,0.00,15462.50,6283.89,3031.99,10513.39,10194.25,5822.73,8144.50,12633.90,4876.95,,,4706.91,2875.87,4537.34,6283.69,2383.56,5063.99,2544.34,4056.31,1947.75,5618.63,2926.25,5477.76,4012.96,4336.28,2486.50,4676.71,7199.58,4067.78,4628.86,3491.57,1236.63,3832.50,1071.12,9371.87,3224.75,4110.63,2734.38,3874.00,4817.91,4220.00,1955.13,2242.37,2515.50,5815.13,3160.63,0.00,2683.36,2541.21,0.00,1957.13,2754.75,2849.88,5669.12,4086.38,2888.74,2399.72,3406.14,2258.12,6429.01,7689.25,707.59,2035.72,5483.12,5840.63,2109.59,3725.08,3927.13,5594.85,2227.61,2689.40,6150.13,1885.61
2023-04-18,Tuesday,9773.95,6544.00,7012.46,12319.75,11861.83,12466.49,1458.47,12845.64,16287.63,6811.60,0.00,15812.00,5606.52,3289.13,10872.03,10175.01,5994.63,7487.00,11276.93,4093.79,,,4818.14,3129.43,4097.00,5923.93,2887.44,4852.51,2559.60,3819.82,2030.75,5340.50,2895.38,5793.62,4009.50,5206.29,2753.92,4946.37,7320.70,4232.45,4685.34,3207.40,747.25,4096.37,1249.75,9362.50,3372.63,5626.78,1259.50,4029.25,3742.80,4106.37,1701.87,2222.25,2414.56,5471.62,3168.37,0.00,2361.71,2868.35,0.00,1567.88,2183.13,3056.36,5439.25,5097.75,2964.33,2437.27,3478.18,2327.00,5763.25,6799.19,671.20,1959.93,5443.43,5868.84,2597.64,3545.70,4031.75,5504.84,2618.43,2800.18,6079.50,1734.42
2023-04-19,Wednesday,9985.12,6233.25,5907.75,11217.74,12397.60,12235.71,1423.98,11533.15,15873.29,6975.00,0.00,16814.78,5614.96,3427.88,9817.20,9919.25,6330.34,8020.59,11736.06,4876.73,,,4945.80,2979.98,4604.47,6038.42,981.06,5019.62,2472.84,3849.84,1835.50,5389.75,2608.37,5412.97,3861.71,4837.04,2765.48,4857.37,7174.27,4296.47,4698.19,3570.56,1020.87,3111.13,711.88,9362.38,2977.74,5378.56,2551.00,3759.75,3484.77,4042.13,1956.38,2131.13,2852.65,5219.63,2964.88,0.00,2345.88,2265.91,0.00,1703.37,2507.50,2700.19,5438.87,4367.25,2699.31,2448.65,3401.63,2182.88,5852.81,6918.23,997.10,1948.19,5326.19,5691.06,2358.55,3775.47,3597.99,5398.71,2465.69,2441.65,5934.93,1727.40
2023-04-20,Thursday,9798.88,6268.75,6553.44,11615.42,12314.06,13104.53,1550.19,12610.70,16677.38,6650.25,0.00,16697.74,5848.25,3537.06,9829.68,10353.62,7625.94,8286.15,13258.97,5231.92,,,4856.02,3041.18,4857.94,6138.81,3041.66,4645.13,2441.86,3778.47,2089.00,5549.25,2914.88,5839.08,4059.59,4957.11,2992.71,5059.19,7324.01,4135.68,4432.51,3651.98,1155.63,4056.25,1295.50,9422.00,1237.25,5503.57,2809.00,4154.75,3102.85,4359.62,1933.62,2227.25,2731.95,5681.12,3199.62,0.00,2452.94,2548.62,0.00,1532.13,2495.12,2351.88,5533.01,4158.12,2696.22,2370.29,3516.74,2446.12,5440.90,6941.06,718.08,1975.34,5745.89,5799.22,2235.43,3636.84,3900.01,5725.39,2533.43,2779.09,6388.03,1828.17
